period,brand,category,channel,province,units_sold,list_price,std_cost,revenue_zar,gross_margin_zar,trade_spend_zar,net_revenue_zar,weighted_distribution,promo_flag,sku_grade
2024Q1,Sprite,Carbonated Soft Drinks,E-Commerce,KwaZulu-Natal,38,65.97,36.71,2506.86,1111.88,172.36,2334.5,49.3,1,A
2024Q3,Sprite,Carbonated Soft Drinks,Wholesale,Eastern Cape,30,57.88,31.56,1736.4,789.6,76.78,1659.62,47.0,0,B
2024Q2,Sprite,Carbonated Soft Drinks,On-Trade,Gauteng,58,69.16,35.55,4011.28,1949.38,399.44,3611.84,53.9,1,B
2024Q2,Schweppes,Mixers,Mass Retail,Western Cape,7,55.82,28.73,390.74,189.63,35.8,354.94,79.5,0,C
2024Q4,Bonaqua,Water,On-Trade,Gauteng,18,39.93,20.7,718.74,346.14,85.1,633.64,76.6,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,Convenience,Mpumalanga,33,51.03,24.76,1683.99,866.91,144.05,1539.94,93.8,0,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,6,60.52,37.06,363.12,140.76,34.09,329.03,48.4,0,C
2024Q3,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,28,45.37,24.67,1270.36,579.6,109.98,1160.38,63.9,1,A
2024Q2,Stoney,Carbonated Soft Drinks,On-Trade,Northern Cape,92,59.73,34.22,5495.16,2346.92,368.56,5126.6,94.6,0,B
2024Q2,Sprite,Carbonated Soft Drinks,E-Commerce,Mpumalanga,59,57.75,35.55,3407.25,1309.8,378.84,3028.41,76.8,0,A
2024Q3,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Gauteng,190,49.16,27.43,9340.4,4128.7,928.54,8411.86,59.8,0,B
2024Q1,Cappy,Juices & Nectars,Convenience,KwaZulu-Natal,28,62.51,36.57,1750.28,726.32,167.1,1583.18,97.5,1,C
2024Q1,Bonaqua,Water,Mass Retail,Eastern Cape,6,40.32,21.84,241.92,110.88,26.26,215.66,81.3,0,B
2024Q4,Monster,Energy Drinks,Convenience,Gauteng,43,108.72,53.1,4674.96,2391.66,519.33,4155.63,62.4,0,A
2024Q1,Fanta,Carbonated Soft Drinks,Convenience,Western Cape,58,50.12,24.39,2906.96,1492.34,198.19,2708.77,90.4,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,Wholesale,Gauteng,25,46.44,24.8,1161.0,541.0,131.46,1029.54,85.4,0,A
2024Q1,Coca-Cola,Carbonated Soft Drinks,On-Trade,Gauteng,32,53.23,25.98,1703.36,872.0,103.87,1599.49,68.1,1,C
2024Q1,Monster,Energy Drinks,Mass Retail,Mpumalanga,53,97.31,56.54,5157.43,2160.81,594.66,4562.77,91.7,0,A
2024Q2,Powerade,Sports Drinks,Mass Retail,Gauteng,43,75.4,42.03,3242.2,1434.91,159.45,3082.75,51.7,0,D
2024Q3,Cappy,Juices & Nectars,Convenience,Gauteng,71,79.29,48.81,5629.59,2164.08,443.26,5186.33,48.4,0,B
2024Q1,Powerplay,Energy Drinks,E-Commerce,Eastern Cape,7,102.34,62.11,716.38,281.61,39.62,676.76,77.6,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,On-Trade,Gauteng,30,50.58,26.16,1517.4,732.6,143.98,1373.42,95.3,1,B
2024Q1,Stoney,Carbonated Soft Drinks,On-Trade,Gauteng,17,59.99,36.64,1019.83,396.95,103.32,916.51,79.9,0,B
2024Q3,Stoney,Carbonated Soft Drinks,Wholesale,Northern Cape,40,60.04,34.82,2401.6,1008.8,273.72,2127.88,72.4,1,B
2024Q3,Monster,Energy Drinks,Mass Retail,KwaZulu-Natal,14,111.85,62.97,1565.9,684.32,123.08,1442.82,78.0,1,D
2024Q4,Schweppes,Mixers,Convenience,Eastern Cape,32,50.9,31.21,1628.8,630.08,115.14,1513.66,67.5,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,On-Trade,KwaZulu-Natal,9,55.42,29.79,498.78,230.67,28.64,470.14,96.2,1,A
2024Q2,Coca-Cola,Carbonated Soft Drinks,On-Trade,Gauteng,26,51.73,26.44,1344.98,657.54,137.78,1207.2,55.7,1,C
2024Q2,Powerade,Sports Drinks,Convenience,Western Cape,26,67.35,33.13,1751.1,889.72,183.18,1567.92,85.9,0,A
2024Q3,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Eastern Cape,46,55.53,27.06,2554.38,1309.62,262.15,2292.23,89.8,0,B
2024Q3,Fanta,Carbonated Soft Drinks,E-Commerce,Gauteng,9,50.25,30.07,452.25,181.62,44.4,407.85,97.0,1,B
2024Q2,Stoney,Carbonated Soft Drinks,On-Trade,Gauteng,19,56.52,33.4,1073.88,439.28,59.01,1014.87,48.5,0,A
2024Q4,Monster,Energy Drinks,Wholesale,Western Cape,75,107.51,59.95,8063.25,3567.0,904.14,7159.11,94.1,1,C
2024Q3,Schweppes,Mixers,Convenience,KwaZulu-Natal,29,56.37,32.34,1634.73,696.87,181.56,1453.17,69.4,0,B
2024Q3,Cappy,Juices & Nectars,Wholesale,Gauteng,50,64.03,39.41,3201.5,1231.0,196.85,3004.65,71.2,1,B
2024Q3,Schweppes,Mixers,On-Trade,Gauteng,36,70.72,35.38,2545.92,1272.24,191.87,2354.05,62.7,0,C
2024Q3,Powerplay,Energy Drinks,Convenience,North West,30,108.61,63.7,3258.3,1347.3,316.19,2942.11,64.4,1,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,Convenience,Western Cape,17,47.33,23.94,804.61,397.63,69.32,735.29,53.2,0,B
2024Q3,Sprite,Carbonated Soft Drinks,On-Trade,Limpopo,51,63.35,33.84,3230.85,1505.01,237.86,2992.99,74.8,1,C
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,39,50.17,30.54,1956.63,765.57,120.64,1835.99,64.6,0,C
2024Q3,Sprite,Carbonated Soft Drinks,E-Commerce,Gauteng,24,56.32,32.31,1351.68,576.24,98.44,1253.24,69.9,1,A
2024Q1,Sprite,Carbonated Soft Drinks,Mass Retail,Gauteng,51,52.75,28.67,2690.25,1228.08,172.53,2517.72,65.4,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,Convenience,Western Cape,16,55.88,27.74,894.08,450.24,53.79,840.29,93.8,0,B
2024Q3,Sprite,Carbonated Soft Drinks,Wholesale,Gauteng,222,59.03,31.36,13104.66,6142.74,1370.34,11734.32,72.7,1,A
2024Q2,Monster,Energy Drinks,E-Commerce,North West,36,101.55,62.06,3655.8,1421.64,236.41,3419.39,91.1,0,A
2024Q1,Coca-Cola,Carbonated Soft Drinks,Convenience,Limpopo,41,49.91,25.35,2046.31,1006.96,142.63,1903.68,71.6,0,A
2024Q1,Bonaqua,Water,On-Trade,KwaZulu-Natal,27,37.39,20.49,1009.53,456.3,84.06,925.47,88.4,1,B
2024Q3,Powerplay,Energy Drinks,Mass Retail,Eastern Cape,53,116.78,65.14,6189.34,2736.92,593.94,5595.4,66.8,1,A
2024Q2,Cappy,Juices & Nectars,On-Trade,Gauteng,42,77.92,44.38,3272.64,1408.68,219.4,3053.24,93.1,0,A
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,30,48.52,28.43,1455.6,602.7,150.7,1304.9,71.2,0,B
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,North West,20,45.54,27.59,910.8,359.0,101.74,809.06,81.3,0,A
2024Q3,Sprite,Carbonated Soft Drinks,Mass Retail,Gauteng,15,52.98,27.21,794.7,386.55,58.36,736.34,58.3,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Mpumalanga,23,48.95,27.42,1125.85,495.19,84.83,1041.02,63.4,0,A
2024Q4,Coca-Cola,Carbonated Soft Drinks,Wholesale,Gauteng,41,53.76,28.3,2204.16,1043.86,219.44,1984.72,53.1,1,A
2024Q4,Sprite,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,79,52.94,27.24,4182.26,2030.3,188.45,3993.81,52.0,0,B
2024Q1,Coca-Cola,Carbonated Soft Drinks,E-Commerce,KwaZulu-Natal,11,55.04,30.7,605.44,267.74,49.77,555.67,79.7,1,D
2024Q4,Cappy,Juices & Nectars,Convenience,Gauteng,23,71.05,41.01,1634.15,690.92,67.47,1566.68,64.8,0,A
2024Q4,Coca-Cola,Carbonated Soft Drinks,On-Trade,Eastern Cape,17,52.35,30.92,889.95,364.31,51.1,838.85,80.9,0,A
2024Q3,Coca-Cola,Carbonated Soft Drinks,Wholesale,KwaZulu-Natal,120,53.75,30.78,6450.0,2756.4,441.45,6008.55,87.9,0,B
2024Q3,Stoney,Carbonated Soft Drinks,On-Trade,Eastern Cape,116,61.84,32.96,7173.44,3350.08,460.69,6712.75,69.3,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Convenience,Western Cape,35,55.18,31.6,1931.3,825.3,216.81,1714.49,50.2,1,C
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,65,54.33,32.6,3531.45,1412.45,258.53,3272.92,49.7,0,B
2024Q1,Stoney,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,18,54.99,32.34,989.82,407.7,45.57,944.25,88.9,0,C
2024Q2,Fanta,Carbonated Soft Drinks,Convenience,Western Cape,17,50.8,26.78,863.6,408.34,40.74,822.86,96.0,0,B
2024Q4,Powerade,Sports Drinks,Convenience,Western Cape,9,66.24,40.45,596.16,232.11,40.28,555.88,53.5,0,C
2024Q2,Sprite,Carbonated Soft Drinks,E-Commerce,KwaZulu-Natal,78,56.3,30.78,4391.4,1990.56,525.06,3866.34,81.0,1,A
2024Q4,Schweppes,Mixers,E-Commerce,KwaZulu-Natal,48,49.32,25.77,2367.36,1130.4,111.07,2256.29,45.1,0,A
2024Q4,Fanta,Carbonated Soft Drinks,Mass Retail,Gauteng,40,54.82,33.98,2192.8,833.6,138.03,2054.77,59.9,1,A
2024Q4,Bonaqua,Water,Mass Retail,Gauteng,21,37.8,22.34,793.8,324.66,89.27,704.53,96.7,1,B
2024Q2,Schweppes,Mixers,Mass Retail,Gauteng,25,60.87,30.18,1521.75,767.25,166.79,1354.96,78.7,1,C
2024Q2,Powerplay,Energy Drinks,On-Trade,Gauteng,8,103.6,60.41,828.8,345.52,63.22,765.58,97.4,1,C
2024Q4,Sprite,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,26,45.62,25.11,1186.12,533.26,77.42,1108.7,83.6,0,A
2024Q3,Stoney,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,37,65.21,38.84,2412.77,975.69,155.09,2257.68,66.1,0,D
2024Q1,Bonaqua,Water,On-Trade,Mpumalanga,7,39.5,24.28,276.5,106.54,17.98,258.52,50.2,0,B
2024Q3,Schweppes,Mixers,Convenience,Free State,28,50.47,27.29,1413.16,649.04,146.93,1266.23,84.2,0,A
2024Q3,Powerplay,Energy Drinks,Petrol & Travel,Gauteng,12,98.7,58.07,1184.4,487.56,52.31,1132.09,45.7,0,A
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,13,51.74,26.54,672.62,327.6,77.08,595.54,90.6,0,B
2024Q2,Stoney,Carbonated Soft Drinks,Convenience,Western Cape,259,48.93,30.17,12672.87,4858.84,1486.04,11186.83,56.4,0,C
2024Q3,Sprite,Carbonated Soft Drinks,Mass Retail,Western Cape,20,52.62,30.24,1052.4,447.6,76.19,976.21,94.4,1,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,Petrol & Travel,KwaZulu-Natal,64,52.12,31.61,3335.68,1312.64,175.2,3160.48,64.4,0,A
2024Q4,Schweppes,Mixers,Mass Retail,Limpopo,11,47.35,26.7,520.85,227.15,23.82,497.03,57.0,0,D
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Free State,35,52.64,25.41,1842.4,953.05,121.89,1720.51,78.3,1,C
2024Q4,Stoney,Carbonated Soft Drinks,Wholesale,KwaZulu-Natal,40,63.16,30.95,2526.4,1288.4,284.78,2241.62,95.8,1,B
2024Q2,Fanta,Carbonated Soft Drinks,Convenience,Western Cape,7,51.29,27.44,359.03,166.95,19.52,339.51,75.6,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,Convenience,Eastern Cape,16,52.05,29.5,832.8,360.8,55.98,776.82,90.4,0,B
2024Q4,Fanta,Carbonated Soft Drinks,Convenience,Northern Cape,21,47.95,28.18,1006.95,415.17,61.67,945.28,85.7,1,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,Convenience,KwaZulu-Natal,24,43.8,26.81,1051.2,407.76,120.4,930.8,56.0,0,C
2024Q3,Fanta,Carbonated Soft Drinks,Wholesale,Eastern Cape,34,45.28,24.65,1539.52,701.42,172.52,1367.0,94.3,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Wholesale,Gauteng,71,51.94,30.8,3687.74,1500.94,148.59,3539.15,62.0,0,B
2024Q3,Schweppes,Mixers,On-Trade,KwaZulu-Natal,19,54.51,26.45,1035.69,533.14,94.73,940.96,58.9,1,B
2024Q4,Powerplay,Energy Drinks,Convenience,Gauteng,57,103.15,61.81,5879.55,2356.38,462.4,5417.15,67.1,0,B
2024Q3,Sprite,Carbonated Soft Drinks,E-Commerce,Western Cape,20,52.56,27.38,1051.2,503.6,56.58,994.62,65.1,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,Wholesale,Eastern Cape,11,59.38,36.27,653.18,254.21,28.66,624.52,56.1,0,A
2024Q3,Sprite,Carbonated Soft Drinks,Mass Retail,Gauteng,23,55.86,29.96,1284.78,595.7,118.11,1166.67,82.0,0,C
2024Q1,Schweppes,Mixers,Mass Retail,Gauteng,20,56.06,30.26,1121.2,516.0,56.4,1064.8,95.2,0,C
2024Q3,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Gauteng,79,48.91,26.89,3863.89,1739.58,250.39,3613.5,88.0,0,A
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,25,52.54,29.38,1313.5,579.0,132.75,1180.75,52.2,1,C
2024Q2,Sprite,Carbonated Soft Drinks,Mass Retail,Eastern Cape,28,62.62,33.97,1753.36,802.2,71.13,1682.23,88.4,0,B
2024Q1,Cappy,Juices & Nectars,Wholesale,Western Cape,158,69.27,40.06,10944.66,4615.18,1274.82,9669.84,73.2,0,D
2024Q4,Fanta,Carbonated Soft Drinks,E-Commerce,Free State,36,51.76,27.01,1863.36,891.0,93.39,1769.97,89.7,0,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,Convenience,KwaZulu-Natal,24,60.69,30.82,1456.56,716.88,128.37,1328.19,48.2,0,B
2024Q1,Monster,Energy Drinks,Mass Retail,Gauteng,5,125.35,73.31,626.75,260.2,66.58,560.17,85.9,1,A
2024Q2,Sprite,Carbonated Soft Drinks,Convenience,Western Cape,37,49.25,30.09,1822.25,708.92,194.61,1627.64,89.7,0,B
2024Q4,Stoney,Carbonated Soft Drinks,Convenience,Gauteng,14,47.58,23.89,666.12,331.66,28.3,637.82,95.2,1,A
2024Q1,Bonaqua,Water,Convenience,KwaZulu-Natal,27,39.93,24.36,1078.11,420.39,93.13,984.98,80.4,0,A
2024Q3,Fanta,Carbonated Soft Drinks,Convenience,Free State,86,43.96,21.34,3780.56,1945.32,207.71,3572.85,89.1,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,12,45.77,25.39,549.24,244.56,21.98,527.26,57.8,1,B
2024Q2,Schweppes,Mixers,Mass Retail,KwaZulu-Natal,60,54.52,28.3,3271.2,1573.2,180.97,3090.23,71.7,0,B
2024Q1,Schweppes,Mixers,Petrol & Travel,Gauteng,28,56.83,30.11,1591.24,748.16,158.83,1432.41,74.2,0,C
2024Q1,Monster,Energy Drinks,Mass Retail,Gauteng,29,133.37,64.77,3867.73,1989.4,459.28,3408.45,65.3,1,C
2024Q1,Sprite,Carbonated Soft Drinks,On-Trade,Gauteng,12,59.59,33.49,715.08,313.2,62.17,652.91,68.6,0,A
2024Q2,Coca-Cola,Carbonated Soft Drinks,Wholesale,KwaZulu-Natal,24,45.07,25.03,1081.68,480.96,100.69,980.99,86.6,0,D
2024Q2,Schweppes,Mixers,On-Trade,Gauteng,15,59.2,36.15,888.0,345.75,62.73,825.27,83.7,1,B
2024Q2,Cappy,Juices & Nectars,On-Trade,Free State,31,59.1,35.63,1832.1,727.57,150.56,1681.54,94.3,0,C
2024Q1,Stoney,Carbonated Soft Drinks,Mass Retail,Western Cape,14,59.54,35.27,833.56,339.78,49.81,783.75,92.7,0,B
2024Q3,Bonaqua,Water,Mass Retail,Western Cape,33,42.62,24.5,1406.46,597.96,143.85,1262.61,51.9,0,B
2024Q4,Cappy,Juices & Nectars,Mass Retail,Gauteng,33,64.01,32.11,2112.33,1052.7,115.4,1996.93,64.3,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,Petrol & Travel,Gauteng,19,52.83,29.08,1003.77,451.25,54.82,948.95,75.4,0,A
2024Q4,Powerade,Sports Drinks,Mass Retail,Western Cape,123,69.54,36.65,8553.42,4045.47,865.68,7687.74,67.9,0,A
2024Q1,Fanta,Carbonated Soft Drinks,Convenience,KwaZulu-Natal,85,56.21,29.42,4777.85,2277.15,223.91,4553.94,49.8,0,D
2024Q3,Stoney,Carbonated Soft Drinks,Mass Retail,Gauteng,18,61.49,32.59,1106.82,520.2,96.73,1010.09,89.3,1,C
2024Q1,Coca-Cola,Carbonated Soft Drinks,Convenience,KwaZulu-Natal,45,50.87,24.48,2289.15,1187.55,128.45,2160.7,95.8,0,D
2024Q4,Schweppes,Mixers,Mass Retail,KwaZulu-Natal,28,56.86,27.52,1592.08,821.52,94.86,1497.22,91.7,0,B
2024Q4,Fanta,Carbonated Soft Drinks,Wholesale,Western Cape,46,50.93,27.36,2342.78,1084.22,129.56,2213.22,72.4,0,B
2024Q2,Stoney,Carbonated Soft Drinks,E-Commerce,Gauteng,56,68.09,41.33,3813.04,1498.56,189.88,3623.16,73.3,0,A
2024Q3,Bonaqua,Water,E-Commerce,Western Cape,22,32.14,15.74,707.08,360.8,44.02,663.06,62.2,0,B
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Northern Cape,25,44.62,25.61,1115.5,475.25,59.09,1056.41,70.8,0,B
2024Q3,Monster,Energy Drinks,Mass Retail,Free State,43,119.6,68.61,5142.8,2192.57,257.67,4885.13,95.1,1,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,18,55.62,33.97,1001.16,389.7,97.71,903.45,85.0,1,B
2024Q4,Sprite,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,175,50.91,29.92,8909.25,3673.25,430.47,8478.78,96.0,0,A
2024Q2,Schweppes,Mixers,E-Commerce,Gauteng,62,54.77,30.26,3395.74,1519.62,261.28,3134.46,61.7,0,A
2024Q3,Powerade,Sports Drinks,Mass Retail,Western Cape,20,75.89,43.11,1517.8,655.6,145.63,1372.17,82.7,1,B
2024Q1,Bonaqua,Water,E-Commerce,North West,29,44.03,22.75,1276.87,617.12,75.77,1201.1,70.6,0,A
2024Q1,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Gauteng,99,49.23,24.3,4873.77,2468.07,380.57,4493.2,97.6,0,A
2024Q2,Schweppes,Mixers,Convenience,North West,33,50.56,25.92,1668.48,813.12,121.41,1547.07,86.3,0,C
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Eastern Cape,8,57.57,31.68,460.56,207.12,40.72,419.84,74.7,0,C
2024Q2,Sprite,Carbonated Soft Drinks,Wholesale,Gauteng,11,55.46,32.93,610.06,247.83,50.84,559.22,51.9,0,A
2024Q1,Schweppes,Mixers,Wholesale,Free State,15,55.77,30.82,836.55,374.25,41.0,795.55,94.5,1,B
2024Q1,Coca-Cola,Carbonated Soft Drinks,On-Trade,Free State,21,45.8,24.44,961.8,448.56,99.62,862.18,69.2,1,A
2024Q2,Fanta,Carbonated Soft Drinks,On-Trade,Gauteng,34,43.05,21.55,1463.7,731.0,130.17,1333.53,75.0,0,B
2024Q3,Cappy,Juices & Nectars,Petrol & Travel,KwaZulu-Natal,24,62.87,38.06,1508.88,595.44,177.69,1331.19,90.5,1,A
2024Q2,Stoney,Carbonated Soft Drinks,Convenience,Western Cape,30,62.59,30.12,1877.7,974.1,141.56,1736.14,47.4,0,C
2024Q2,Fanta,Carbonated Soft Drinks,Mass Retail,Gauteng,25,41.69,23.59,1042.25,452.5,114.13,928.12,80.1,0,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,Convenience,Gauteng,35,47.71,24.8,1669.85,801.85,73.08,1596.77,80.4,0,D
2024Q4,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Free State,45,50.25,30.12,2261.25,905.85,255.85,2005.4,59.1,0,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,Convenience,Gauteng,51,44.09,21.47,2248.59,1153.62,97.84,2150.75,83.2,0,D
2024Q4,Stoney,Carbonated Soft Drinks,On-Trade,Gauteng,17,56.78,32.58,965.26,411.4,38.64,926.62,87.7,1,C
2024Q4,Coca-Cola,Carbonated Soft Drinks,On-Trade,Western Cape,23,46.97,25.73,1080.31,488.52,73.89,1006.42,62.0,0,A
2024Q4,Coca-Cola,Carbonated Soft Drinks,On-Trade,KwaZulu-Natal,29,52.2,28.2,1513.8,696.0,166.52,1347.28,61.0,1,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Gauteng,52,57.9,32.41,3010.8,1325.48,133.34,2877.46,52.4,0,A
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,33,45.92,25.54,1515.36,672.54,94.98,1420.38,95.3,0,B
2024Q4,Monster,Energy Drinks,Petrol & Travel,Western Cape,24,112.93,55.88,2710.32,1369.2,215.26,2495.06,53.5,0,C
2024Q2,Schweppes,Mixers,Mass Retail,Gauteng,31,51.68,27.44,1602.08,751.44,146.03,1456.05,51.8,0,C
2024Q1,Bonaqua,Water,Convenience,Gauteng,52,39.32,19.1,2044.64,1051.44,231.25,1813.39,89.1,0,A
2024Q4,Sprite,Carbonated Soft Drinks,Mass Retail,Gauteng,33,57.66,30.13,1902.78,908.49,131.3,1771.48,48.5,0,A
2024Q1,Cappy,Juices & Nectars,Wholesale,Gauteng,36,65.15,35.31,2345.4,1074.24,271.86,2073.54,58.0,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,Wholesale,Eastern Cape,150,51.34,25.13,7701.0,3931.5,427.43,7273.57,56.4,0,B
2024Q1,Cappy,Juices & Nectars,Wholesale,Gauteng,42,59.89,30.55,2515.38,1232.28,274.0,2241.38,94.9,0,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Limpopo,12,49.17,23.94,590.04,302.76,36.28,553.76,79.7,0,C
2024Q4,Coca-Cola,Carbonated Soft Drinks,On-Trade,Gauteng,29,54.48,31.44,1579.92,668.16,125.04,1454.88,72.2,1,A
2024Q2,Bonaqua,Water,Convenience,Western Cape,9,32.29,18.69,290.61,122.4,33.49,257.12,62.5,1,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,Convenience,Gauteng,394,50.95,25.66,20074.3,9964.26,2024.24,18050.06,97.2,0,A
2024Q4,Stoney,Carbonated Soft Drinks,Mass Retail,Gauteng,41,58.53,33.87,2399.73,1011.06,183.12,2216.61,73.7,0,B
2024Q2,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Limpopo,5,50.52,27.74,252.6,113.9,21.81,230.79,55.0,0,C
2024Q2,Schweppes,Mixers,On-Trade,Gauteng,80,63.95,31.59,5116.0,2588.8,451.92,4664.08,51.4,1,A
2024Q4,Monster,Energy Drinks,Convenience,Northern Cape,4,117.22,65.93,468.88,205.16,22.1,446.78,67.8,1,C
2024Q2,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Eastern Cape,34,53.14,30.62,1806.76,765.68,119.31,1687.45,50.0,0,A
2024Q2,Sprite,Carbonated Soft Drinks,Mass Retail,Mpumalanga,20,47.95,27.38,959.0,411.4,40.25,918.75,87.9,0,D
2024Q4,Powerplay,Energy Drinks,Convenience,Gauteng,27,107.43,54.01,2900.61,1442.34,323.72,2576.89,81.4,1,C
2024Q1,Fanta,Carbonated Soft Drinks,Convenience,Western Cape,38,48.36,27.09,1837.68,808.26,132.98,1704.7,64.3,1,B
2024Q4,Coca-Cola,Carbonated Soft Drinks,On-Trade,Gauteng,44,47.04,25.37,2069.76,953.48,156.75,1913.01,58.5,0,D
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,344,47.88,25.03,16470.72,7860.4,898.39,15572.33,49.6,0,A
2024Q1,Schweppes,Mixers,Mass Retail,Western Cape,54,52.85,28.26,2853.9,1327.86,209.08,2644.82,69.9,0,D
2024Q2,Sprite,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,26,52.57,30.12,1366.82,583.7,127.47,1239.35,60.2,0,C
2024Q1,Sprite,Carbonated Soft Drinks,Convenience,KwaZulu-Natal,21,52.71,25.47,1106.91,572.04,123.69,983.22,56.2,1,B
2024Q3,Stoney,Carbonated Soft Drinks,Convenience,Gauteng,19,57.82,32.93,1098.58,472.91,50.55,1048.03,52.1,0,C
2024Q1,Schweppes,Mixers,On-Trade,Gauteng,91,52.84,29.49,4808.44,2124.85,290.82,4517.62,79.5,1,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,Wholesale,Western Cape,4,57.82,29.92,231.28,111.6,20.43,210.85,91.2,0,C
2024Q3,Coca-Cola,Carbonated Soft Drinks,Convenience,KwaZulu-Natal,10,58.98,30.17,589.8,288.1,35.72,554.08,70.4,0,B
2024Q2,Schweppes,Mixers,On-Trade,KwaZulu-Natal,27,60.62,32.27,1636.74,765.45,115.69,1521.05,89.3,0,A
2024Q2,Coca-Cola,Carbonated Soft Drinks,Convenience,KwaZulu-Natal,9,56.52,33.6,508.68,206.28,21.91,486.77,91.2,0,C
2024Q4,Cappy,Juices & Nectars,Mass Retail,Mpumalanga,31,53.37,30.6,1654.47,705.87,67.87,1586.6,91.2,0,B
2024Q1,Coca-Cola,Carbonated Soft Drinks,Mass Retail,Western Cape,16,50.41,27.3,806.56,369.76,64.29,742.27,66.4,0,B
2024Q4,Fanta,Carbonated Soft Drinks,E-Commerce,Mpumalanga,49,49.7,28.03,2435.3,1061.83,254.73,2180.57,50.8,0,B
2024Q1,Cappy,Juices & Nectars,Wholesale,Free State,62,56.84,34.14,3524.08,1407.4,163.05,3361.03,48.8,0,A
2024Q2,Powerplay,Energy Drinks,Mass Retail,Western Cape,55,98.93,55.01,5441.15,2415.6,580.2,4860.95,51.6,1,B
2024Q2,Bonaqua,Water,Mass Retail,Gauteng,55,40.65,21.87,2235.75,1032.9,147.91,2087.84,77.2,0,B
2024Q3,Powerplay,Energy Drinks,Convenience,KwaZulu-Natal,85,111.97,58.22,9517.45,4568.75,562.83,8954.62,86.7,1,B
2024Q4,Stoney,Carbonated Soft Drinks,Wholesale,Western Cape,35,48.62,27.15,1701.7,751.45,167.26,1534.44,63.8,0,B
2024Q2,Schweppes,Mixers,Mass Retail,Gauteng,89,67.57,38.49,6013.73,2588.12,365.37,5648.36,49.5,1,C
2024Q3,Fanta,Carbonated Soft Drinks,Mass Retail,KwaZulu-Natal,33,43.86,26.21,1447.38,582.45,139.1,1308.28,86.8,0,B
2024Q4,Schweppes,Mixers,Convenience,KwaZulu-Natal,8,50.48,25.59,403.84,199.12,18.13,385.71,76.3,0,B
2024Q3,Coca-Cola,Carbonated Soft Drinks,E-Commerce,Gauteng,18,55.39,33.02,997.02,402.66,96.03,900.99,95.1,0,A
