sku,uom_level,article_no,nbs_item,category,brand,variant,description,pack_size,pack_ml,material,uom,base_qty,units_per_case,cases_per_layer,layers_per_pallet,gross_wt,net_wt,std_cost,list_price,barcode_type,barcode,is_sellable,is_orderable
SKU000119,EA,10005255,2704470,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 2L PET Bottle,2L,2000,PET,EA,1,6,4,3,2.03,2.0,7.08,10.97,EAN-13,6001000000520,1,0
SKU000120,CS,10005289,1992948,Carbonated Soft Drinks,Sprite,Zero,Sprite Zero 2L PET Bottle Case 6,6 x 2L,2000,PET,CS,6,6,4,3,12.58,12.0,42.48,65.84,GTIN-14,16001000000527,0,1
SKU000121,EA,10005332,1103961,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 330ml Can,330ml,330,CAN,EA,1,24,8,5,0.35,0.33,3.76,5.83,EAN-13,6001000000537,1,0
SKU000122,CS,10005332,2393286,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 330ml Can Case 24,24 x 330ml,330,CAN,CS,24,24,8,5,8.8,7.92,90.24,139.87,GTIN-14,16001000000534,0,1
SKU000123,EA,10005462,2040888,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 330ml PET Bottle,330ml,330,PET,EA,1,24,8,5,0.36,0.33,2.92,4.53,EAN-13,6001000000544,1,0
SKU000124,CS,10005444,0000000,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 330ml PET Bottle Case 24,24 x 330ml,330,PET,CS,24,24,8,5,9.04,7.92,70.08,108.62,GTIN-14,16001000000541,0,1
SKU000125,EA,10005558,2974217,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 500ml Can,500ml,500,CAN,EA,1,24,6,4,0.52,0.5,4.2,6.51,EAN-13,6001000000551,1,0
SKU000126,CS,10005538,0000000,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 500ml Can Case 24,24 x 500ml,500,CAN,CS,24,24,6,4,12.88,12.0,100.8,156.24,GTIN-14,16001000000558,0,1
SKU000127,EA,10005654,1954604,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,3.34,5.18,EAN-13,6001000000568,1,0
SKU000128,CS,10005638,0000000,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,80.16,124.25,GTIN-14,16001000000565,0,1
SKU000129,DSP,10005652,2168545,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 500ml PET Bottle Display 6,6 x 500ml,500,PET,DSP,6,6,6,4,3.28,3.0,20.04,32.3,GTIN-14,26001000000562,1,1
SKU000130,EA,10005718,2170735,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 1L Can,1L,1000,CAN,EA,1,12,5,4,1.02,1.0,5.51,8.54,EAN-13,6001000000575,1,0
SKU000131,CS,10005754,2676372,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 1L Can Case 12,12 x 1L,1000,CAN,CS,12,12,5,4,12.64,12.0,66.12,102.49,GTIN-14,16001000000572,0,1
SKU000132,EA,10005878,1115765,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,4.59,7.11,EAN-13,6001000000582,1,0
SKU000133,CS,10005824,2095615,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,55.08,85.37,GTIN-14,16001000000589,0,1
SKU000134,DSP,10005843,1160462,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 1L PET Bottle Display 6,6 x 1L,1000,PET,DSP,6,6,5,4,6.28,6.0,27.54,44.39,GTIN-14,26001000000586,1,1
SKU000135,EA,10005923,2449916,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 2L Can,2L,2000,CAN,EA,1,6,4,3,2.02,2.0,8.12,12.59,EAN-13,6001000000599,1,0
SKU000136,CS,10005950,3145063,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 2L Can Case 6,6 x 2L,2000,CAN,CS,6,6,4,3,12.52,12.0,48.72,75.52,GTIN-14,16001000000596,0,1
SKU000137,EA,10006083,1186170,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 2L PET Bottle,2L,2000,PET,EA,1,6,4,3,2.03,2.0,7.08,10.97,EAN-13,6001000000605,1,0
SKU000138,CS,10006065,0000000,Carbonated Soft Drinks,Fanta,Orange,Fanta Orange 2L PET Bottle Case 6,6 x 2L,2000,PET,CS,6,6,4,3,12.58,12.0,42.48,65.84,GTIN-14,16001000000602,0,1
SKU000139,EA,10006178,3812819,Carbonated Soft Drinks,Fanta,Grape,Fanta Grape 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,3.34,5.18,EAN-13,6001000000612,1,0
SKU000140,CS,10006135,1293491,Carbonated Soft Drinks,Fanta,Grape,Fanta Grape 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,80.16,124.25,GTIN-14,16001000000619,0,1
SKU000141,EA,10006252,3782448,Carbonated Soft Drinks,Fanta,Grape,Fanta Grape 2L PET Bottle,2L,2000,PET,EA,1,6,4,3,2.03,2.0,7.08,10.97,EAN-13,6001000000629,1,0
SKU000142,CS,10006225,2259642,Carbonated Soft Drinks,Fanta,Grape,Fanta Grape 2L PET Bottle Case 6,6 x 2L,2000,PET,CS,6,6,4,3,12.58,12.0,42.48,65.84,GTIN-14,16001000000626,0,1
SKU000143,EA,10006395,2687789,Carbonated Soft Drinks,Fanta,Pineapple,Fanta Pineapple 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,3.34,5.18,EAN-13,6001000000636,1,0
SKU000144,CS,10006399,1533883,Carbonated Soft Drinks,Fanta,Pineapple,Fanta Pineapple 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,80.16,124.25,GTIN-14,16001000000633,0,1
SKU000145,DSP,10006395,2590250,Carbonated Soft Drinks,Fanta,Pineapple,Fanta Pineapple 500ml PET Bottle Display 6,6 x 500ml,500,PET,DSP,6,6,6,4,3.28,3.0,20.04,32.3,GTIN-14,26001000000630,1,1
SKU000146,EA,10006496,1729923,Carbonated Soft Drinks,Fanta,Pineapple,Fanta Pineapple 2L PET Bottle,2L,2000,PET,EA,1,6,4,3,2.03,2.0,7.08,10.97,EAN-13,6001000000643,1,0
SKU000147,CS,10006488,2703202,Carbonated Soft Drinks,Fanta,Pineapple,Fanta Pineapple 2L PET Bottle Case 6,6 x 2L,2000,PET,CS,6,6,4,3,12.58,12.0,42.48,65.84,GTIN-14,16001000000640,0,1
SKU000148,EA,10006510,1881570,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 330ml Can,330ml,330,CAN,EA,1,24,8,5,0.35,0.33,3.76,5.83,EAN-13,6001000000650,1,0
SKU000149,CS,10006565,3544523,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 330ml Can Case 24,24 x 330ml,330,CAN,CS,24,24,8,5,8.8,7.92,90.24,139.87,GTIN-14,16001000000657,0,1
SKU000150,EA,10006669,3833786,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 330ml PET Bottle,330ml,330,PET,EA,1,24,8,5,0.36,0.33,2.92,4.53,EAN-13,6001000000667,1,0
SKU000151,CS,10006637,1711737,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 330ml PET Bottle Case 24,24 x 330ml,330,PET,CS,24,24,8,5,9.04,7.92,70.08,108.62,GTIN-14,16001000000664,0,1
SKU000152,EA,10006746,3654746,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 500ml Can,500ml,500,CAN,EA,1,24,6,4,0.52,0.5,4.2,6.51,EAN-13,6001000000674,1,0
SKU000153,CS,10006789,1985110,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 500ml Can Case 24,24 x 500ml,500,CAN,CS,24,24,6,4,12.88,12.0,100.8,156.24,GTIN-14,16001000000671,0,1
SKU000154,EA,10006838,1618047,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,3.34,5.18,EAN-13,6001000000681,1,0
SKU000155,CS,10006813,0000000,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,80.16,124.25,GTIN-14,16001000000688,0,1
SKU000156,EA,10006988,1305463,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 2L Can,2L,2000,CAN,EA,1,6,4,3,2.02,2.0,8.12,12.59,EAN-13,6001000000698,1,0
SKU000157,CS,10006968,3641427,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 2L Can Case 6,6 x 2L,2000,CAN,CS,6,6,4,3,12.52,12.0,48.72,75.52,GTIN-14,16001000000695,0,1
SKU000158,EA,10007099,2676265,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 2L PET Bottle,2L,2000,PET,EA,1,6,4,3,2.03,2.0,7.08,10.97,EAN-13,6001000000704,1,0
SKU000159,CS,10007041,0000000,Carbonated Soft Drinks,Stoney,Ginger Beer,Stoney Ginger Beer 2L PET Bottle Case 6,6 x 2L,2000,PET,CS,6,6,4,3,12.58,12.0,42.48,65.84,GTIN-14,16001000000701,0,1
SKU000160,EA,10007123,1917886,Water,Bonaqua,Still,Bonaqua Still 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,2.59,4.4,EAN-13,6001000000711,1,0
SKU000161,CS,10007132,3918865,Water,Bonaqua,Still,Bonaqua Still 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,62.16,105.67,GTIN-14,16001000000718,0,1
SKU000162,EA,10007216,1509014,Water,Bonaqua,Still,Bonaqua Still 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,3.09,5.25,EAN-13,6001000000728,1,0
SKU000163,CS,10007268,0000000,Water,Bonaqua,Still,Bonaqua Still 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,37.08,63.04,GTIN-14,16001000000725,0,1
SKU000164,EA,10007377,3497508,Water,Bonaqua,Still,Bonaqua Still 1.5L PET Bottle,1.5L,1500,PET,EA,1,8,4,4,1.53,1.5,3.58,6.09,EAN-13,6001000000735,1,0
SKU000165,CS,10007350,2856287,Water,Bonaqua,Still,Bonaqua Still 1.5L PET Bottle Case 8,8 x 1.5L,1500,PET,CS,8,8,4,4,12.64,12.0,28.64,48.69,GTIN-14,16001000000732,0,1
SKU000166,EA,10007474,3297941,Water,Bonaqua,Sparkling,Bonaqua Sparkling 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,2.59,4.4,EAN-13,6001000000742,1,0
SKU000167,CS,10007467,2990928,Water,Bonaqua,Sparkling,Bonaqua Sparkling 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,62.16,105.67,GTIN-14,16001000000749,0,1
SKU000168,EA,10007541,2163128,Water,Bonaqua,Sparkling,Bonaqua Sparkling 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,3.09,5.25,EAN-13,6001000000759,1,0
SKU000169,CS,10007576,2003469,Water,Bonaqua,Sparkling,Bonaqua Sparkling 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,37.08,63.04,GTIN-14,16001000000756,0,1
SKU000170,DSP,10007519,3992824,Water,Bonaqua,Sparkling,Bonaqua Sparkling 1L PET Bottle Display 6,6 x 1L,1000,PET,DSP,6,6,5,4,6.28,6.0,18.54,32.78,GTIN-14,26001000000753,1,1
SKU000171,EA,10007646,2408646,Sports Drinks,Powerade,Mountain Blast,Powerade Mountain Blast 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,4.39,6.5,EAN-13,6001000000766,1,0
SKU000172,CS,10007650,1337967,Sports Drinks,Powerade,Mountain Blast,Powerade Mountain Blast 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,105.36,155.93,GTIN-14,16001000000763,0,1
SKU000173,DSP,10007639,2606566,Sports Drinks,Powerade,Mountain Blast,Powerade Mountain Blast 500ml PET Bottle Display 6,6 x 500ml,500,PET,DSP,6,6,6,4,3.28,3.0,26.34,40.54,GTIN-14,26001000000760,1,1
SKU000174,EA,10007798,1897383,Sports Drinks,Powerade,Mountain Blast,Powerade Mountain Blast 750ml PET Bottle,750ml,750,PET,EA,1,12,5,4,0.78,0.75,5.54,8.2,EAN-13,6001000000773,1,0
SKU000175,CS,10007718,2387817,Sports Drinks,Powerade,Mountain Blast,Powerade Mountain Blast 750ml PET Bottle Case 12,12 x 750ml,750,PET,CS,12,12,5,4,9.76,9.0,66.48,98.39,GTIN-14,16001000000770,0,1
SKU000176,EA,10007863,0000000,Sports Drinks,Powerade,Naartjie,Powerade Naartjie 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,4.39,6.5,EAN-13,6001000000780,1,0
SKU000177,CS,10007863,3449806,Sports Drinks,Powerade,Naartjie,Powerade Naartjie 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,105.36,155.93,GTIN-14,16001000000787,0,1
SKU000178,EA,10007912,3414620,Juices & Nectars,Cappy,Orange,Cappy Orange 330ml PET Bottle,330ml,330,PET,EA,1,24,8,5,0.36,0.33,3.91,5.67,EAN-13,6001000000797,1,0
SKU000179,CS,10007958,2475383,Juices & Nectars,Cappy,Orange,Cappy Orange 330ml PET Bottle Case 24,24 x 330ml,330,PET,CS,24,24,8,5,9.04,7.92,93.84,136.07,GTIN-14,16001000000794,0,1
SKU000180,DSP,10007959,2757502,Juices & Nectars,Cappy,Orange,Cappy Orange 330ml PET Bottle Display 6,6 x 330ml,330,PET,DSP,6,6,8,5,2.26,1.98,23.46,35.38,GTIN-14,26001000000791,1,1
SKU000181,EA,10008078,3290644,Juices & Nectars,Cappy,Orange,Cappy Orange 330ml Tetra Pak,330ml,330,TET,EA,1,24,8,5,0.63,0.33,4.28,6.21,EAN-13,6001000000803,1,0
SKU000182,CS,10008087,3047782,Juices & Nectars,Cappy,Orange,Cappy Orange 330ml Tetra Pak Case 24,24 x 330ml,330,TET,CS,24,24,8,5,15.52,7.92,102.72,148.94,GTIN-14,16001000000800,0,1
SKU000183,DSP,10008065,3036930,Juices & Nectars,Cappy,Orange,Cappy Orange 330ml Tetra Pak Display 6,6 x 330ml,330,TET,DSP,6,6,8,5,3.88,1.98,25.68,38.73,GTIN-14,26001000000807,1,1
SKU000184,EA,10008113,3805459,Juices & Nectars,Cappy,Orange,Cappy Orange 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,7.59,11.01,EAN-13,6001000000810,1,0
SKU000185,CS,10008196,1692247,Juices & Nectars,Cappy,Orange,Cappy Orange 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,91.08,132.07,GTIN-14,16001000000817,0,1
SKU000186,EA,10008226,3240276,Juices & Nectars,Cappy,Orange,Cappy Orange 1L Tetra Pak,1L,1000,TET,EA,1,12,5,4,1.3,1.0,7.99,11.59,EAN-13,6001000000827,1,0
SKU000187,CS,10008213,3482578,Juices & Nectars,Cappy,Orange,Cappy Orange 1L Tetra Pak Case 12,12 x 1L,1000,TET,CS,12,12,5,4,16.0,12.0,95.88,139.03,GTIN-14,16001000000824,0,1
SKU000188,EA,10008313,0000000,Juices & Nectars,Cappy,Orange,Cappy Orange 1.5L PET Bottle,1.5L,1500,PET,EA,1,8,4,4,1.53,1.5,10.33,14.98,EAN-13,6001000000834,1,0
SKU000189,CS,10008364,0000000,Juices & Nectars,Cappy,Orange,Cappy Orange 1.5L PET Bottle Case 8,8 x 1.5L,1500,PET,CS,8,8,4,4,12.64,12.0,82.64,119.83,GTIN-14,16001000000831,0,1
SKU000190,EA,10008416,2373016,Juices & Nectars,Cappy,Orange,Cappy Orange 1.5L Tetra Pak,1.5L,1500,TET,EA,1,8,4,4,1.8,1.5,10.76,15.6,EAN-13,6001000000841,1,0
SKU000191,CS,10008437,2415579,Juices & Nectars,Cappy,Orange,Cappy Orange 1.5L Tetra Pak Case 8,8 x 1.5L,1500,TET,CS,8,8,4,4,14.8,12.0,86.08,124.82,GTIN-14,16001000000848,0,1
SKU000192,EA,10008558,2768171,Juices & Nectars,Cappy,Mango,Cappy Mango 330ml PET Bottle,330ml,330,PET,EA,1,24,8,5,0.36,0.33,3.91,5.67,EAN-13,6001000000858,1,0
SKU000193,CS,10008542,2972609,Juices & Nectars,Cappy,Mango,Cappy Mango 330ml PET Bottle Case 24,24 x 330ml,330,PET,CS,24,24,8,5,9.04,7.92,93.84,136.07,GTIN-14,16001000000855,0,1
SKU000194,DSP,10008579,1218462,Juices & Nectars,Cappy,Mango,Cappy Mango 330ml PET Bottle Display 6,6 x 330ml,330,PET,DSP,6,6,8,5,2.26,1.98,23.46,35.38,GTIN-14,26001000000852,1,1
SKU000195,EA,10008654,1287806,Juices & Nectars,Cappy,Mango,Cappy Mango 330ml Tetra Pak,330ml,330,TET,EA,1,24,8,5,0.63,0.33,4.28,6.21,EAN-13,6001000000865,1,0
SKU000196,CS,10008693,0000000,Juices & Nectars,Cappy,Mango,Cappy Mango 330ml Tetra Pak Case 24,24 x 330ml,330,TET,CS,24,24,8,5,15.52,7.92,102.72,148.94,GTIN-14,16001000000862,0,1
SKU000197,DSP,10008641,1836179,Juices & Nectars,Cappy,Mango,Cappy Mango 330ml Tetra Pak Display 6,6 x 330ml,330,TET,DSP,6,6,8,5,3.88,1.98,25.68,38.73,GTIN-14,26001000000869,1,1
SKU000198,EA,10008712,2000530,Juices & Nectars,Cappy,Mango,Cappy Mango 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,7.59,11.01,EAN-13,6001000000872,1,0
SKU000199,CS,10008726,1479784,Juices & Nectars,Cappy,Mango,Cappy Mango 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,91.08,132.07,GTIN-14,16001000000879,0,1
SKU000200,EA,10008837,2074763,Juices & Nectars,Cappy,Mango,Cappy Mango 1L Tetra Pak,1L,1000,TET,EA,1,12,5,4,1.3,1.0,7.99,11.59,EAN-13,6001000000889,1,0
SKU000201,CS,10008857,0000000,Juices & Nectars,Cappy,Mango,Cappy Mango 1L Tetra Pak Case 12,12 x 1L,1000,TET,CS,12,12,5,4,16.0,12.0,95.88,139.03,GTIN-14,16001000000886,0,1
SKU000202,EA,10008924,1686883,Energy Drinks,Monster,Energy Green,Monster Energy Green 440ml Can,440ml,440,CAN,EA,1,24,8,5,0.46,0.44,6.12,9.91,EAN-13,6001000000896,1,0
SKU000203,CS,10008949,0000000,Energy Drinks,Monster,Energy Green,Monster Energy Green 440ml Can Case 24,24 x 440ml,440,CAN,CS,24,24,8,5,11.44,10.56,146.88,237.95,GTIN-14,16001000000893,0,1
SKU000204,DSP,10008949,3415066,Energy Drinks,Monster,Energy Green,Monster Energy Green 440ml Can Display 6,6 x 440ml,440,CAN,DSP,6,6,8,5,2.86,2.64,36.72,61.87,GTIN-14,26001000000890,1,1
SKU000205,EA,10009096,2574151,Energy Drinks,Monster,Energy Green,Monster Energy Green 500ml Can,500ml,500,CAN,EA,1,24,6,4,0.52,0.5,6.55,10.61,EAN-13,6001000000902,1,0
SKU000206,CS,10009060,1831855,Energy Drinks,Monster,Energy Green,Monster Energy Green 500ml Can Case 24,24 x 500ml,500,CAN,CS,24,24,6,4,12.88,12.0,157.2,254.66,GTIN-14,16001000000909,0,1
SKU000207,DSP,10009098,3630845,Energy Drinks,Monster,Energy Green,Monster Energy Green 500ml Can Display 6,6 x 500ml,500,CAN,DSP,6,6,6,4,3.22,3.0,39.3,66.21,GTIN-14,26001000000906,1,1
SKU000208,EA,10009141,0000000,Energy Drinks,Monster,Ultra,Monster Ultra 440ml Can,440ml,440,CAN,EA,1,24,8,5,0.46,0.44,6.12,9.91,EAN-13,6001000000919,1,0
SKU000209,CS,10009148,3518308,Energy Drinks,Monster,Ultra,Monster Ultra 440ml Can Case 24,24 x 440ml,440,CAN,CS,24,24,8,5,11.44,10.56,146.88,237.95,GTIN-14,16001000000916,0,1
SKU000210,EA,10009282,2456278,Energy Drinks,Powerplay,Original,Powerplay 440ml Can,440ml,440,CAN,EA,1,24,8,5,0.46,0.44,6.12,9.91,EAN-13,6001000000926,1,0
SKU000211,CS,10009278,2554286,Energy Drinks,Powerplay,Original,Powerplay 440ml Can Case 24,24 x 440ml,440,CAN,CS,24,24,8,5,11.44,10.56,146.88,237.95,GTIN-14,16001000000923,0,1
SKU000212,DSP,10009292,2431227,Energy Drinks,Powerplay,Original,Powerplay 440ml Can Display 6,6 x 440ml,440,CAN,DSP,6,6,8,5,2.86,2.64,36.72,61.87,GTIN-14,26001000000920,1,1
SKU000213,EA,10009311,3056054,Energy Drinks,Powerplay,Original,Powerplay 440ml PET Bottle,440ml,440,PET,EA,1,24,8,5,0.47,0.44,5.26,8.52,EAN-13,6001000000933,1,0
SKU000214,CS,10009323,2519126,Energy Drinks,Powerplay,Original,Powerplay 440ml PET Bottle Case 24,24 x 440ml,440,PET,CS,24,24,8,5,11.68,10.56,126.24,204.51,GTIN-14,16001000000930,0,1
SKU000215,EA,10009468,2826565,Energy Drinks,Powerplay,Original,Powerplay 500ml Can,500ml,500,CAN,EA,1,24,6,4,0.52,0.5,6.55,10.61,EAN-13,6001000000940,1,0
SKU000216,CS,10009432,3728216,Energy Drinks,Powerplay,Original,Powerplay 500ml Can Case 24,24 x 500ml,500,CAN,CS,24,24,6,4,12.88,12.0,157.2,254.66,GTIN-14,16001000000947,0,1
SKU000217,DSP,10009478,3027935,Energy Drinks,Powerplay,Original,Powerplay 500ml Can Display 6,6 x 500ml,500,CAN,DSP,6,6,6,4,3.22,3.0,39.3,66.21,GTIN-14,26001000000944,1,1
SKU000218,EA,10009569,3485018,Energy Drinks,Powerplay,Original,Powerplay 500ml PET Bottle,500ml,500,PET,EA,1,24,6,4,0.53,0.5,5.69,9.22,EAN-13,6001000000957,1,0
SKU000219,CS,10009544,2029681,Energy Drinks,Powerplay,Original,Powerplay 500ml PET Bottle Case 24,24 x 500ml,500,PET,CS,24,24,6,4,13.12,12.0,136.56,221.23,GTIN-14,16001000000954,0,1
SKU000220,EA,10009621,2890800,Energy Drinks,Predator,Gold Strike,Predator Gold Strike 400ml Can,400ml,400,CAN,EA,1,24,8,5,0.42,0.4,5.82,9.43,EAN-13,6001000000964,1,0
SKU000221,CS,10009641,3390122,Energy Drinks,Predator,Gold Strike,Predator Gold Strike 400ml Can Case 24,24 x 400ml,400,CAN,CS,24,24,8,5,10.48,9.6,139.68,226.28,GTIN-14,16001000000961,0,1
SKU000222,EA,10009758,3073271,Energy Drinks,Predator,Gold Strike,Predator Gold Strike 500ml Can,500ml,500,CAN,EA,1,24,6,4,0.52,0.5,6.55,10.61,EAN-13,6001000000971,1,0
SKU000223,CS,10009751,0000000,Energy Drinks,Predator,Gold Strike,Predator Gold Strike 500ml Can Case 24,24 x 500ml,500,CAN,CS,24,24,6,4,12.88,12.0,157.2,254.66,GTIN-14,16001000000978,0,1
SKU000224,DSP,10009743,2427484,Energy Drinks,Predator,Gold Strike,Predator Gold Strike 500ml Can Display 6,6 x 500ml,500,CAN,DSP,6,6,6,4,3.22,3.0,39.3,66.21,GTIN-14,26001000000975,1,1
SKU000225,EA,10009845,3940977,Mixers,Schweppes,Lemonade,Schweppes Lemonade 330ml Can,330ml,330,CAN,EA,1,24,8,5,0.35,0.33,3.83,6.05,EAN-13,6001000000988,1,0
SKU000226,CS,10009845,3166891,Mixers,Schweppes,Lemonade,Schweppes Lemonade 330ml Can Case 24,24 x 330ml,330,CAN,CS,24,24,8,5,8.8,7.92,91.92,145.23,GTIN-14,16001000000985,0,1
SKU000227,EA,10009920,2704683,Mixers,Schweppes,Lemonade,Schweppes Lemonade 330ml PET Bottle,330ml,330,PET,EA,1,24,8,5,0.36,0.33,2.99,4.72,EAN-13,6001000000995,1,0
SKU000228,CS,10009972,2007991,Mixers,Schweppes,Lemonade,Schweppes Lemonade 330ml PET Bottle Case 24,24 x 330ml,330,PET,CS,24,24,8,5,9.04,7.92,71.76,113.38,GTIN-14,16001000000992,0,1
SKU000229,EA,10010092,2879780,Mixers,Schweppes,Lemonade,Schweppes Lemonade 1L Can,1L,1000,CAN,EA,1,12,5,4,1.02,1.0,5.71,9.02,EAN-13,6001000001008,1,0
SKU000230,CS,10010012,0000000,Mixers,Schweppes,Lemonade,Schweppes Lemonade 1L Can Case 12,12 x 1L,1000,CAN,CS,12,12,5,4,12.64,12.0,68.52,108.26,GTIN-14,16001000001005,0,1
SKU000231,DSP,10010098,2020495,Mixers,Schweppes,Lemonade,Schweppes Lemonade 1L Can Display 6,6 x 1L,1000,CAN,DSP,6,6,5,4,6.22,6.0,34.26,56.3,GTIN-14,26001000001002,1,1
SKU000232,EA,10010149,2547783,Mixers,Schweppes,Lemonade,Schweppes Lemonade 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,4.79,7.57,EAN-13,6001000001015,1,0
SKU000233,CS,10010170,2441823,Mixers,Schweppes,Lemonade,Schweppes Lemonade 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,57.48,90.82,GTIN-14,16001000001012,0,1
SKU000234,EA,10010280,3947987,Mixers,Schweppes,Soda Water,Schweppes Soda Water 200ml Can,200ml,200,CAN,EA,1,24,8,5,0.22,0.2,3.46,5.47,EAN-13,6001000001022,1,0
SKU000235,CS,10010268,2054463,Mixers,Schweppes,Soda Water,Schweppes Soda Water 200ml Can Case 24,24 x 200ml,200,CAN,CS,24,24,8,5,5.68,4.8,83.04,131.2,GTIN-14,16001000001029,0,1
SKU000236,DSP,10010234,2323504,Mixers,Schweppes,Soda Water,Schweppes Soda Water 200ml Can Display 6,6 x 200ml,200,CAN,DSP,6,6,8,5,1.42,1.2,20.76,34.11,GTIN-14,26001000001026,1,1
SKU000237,EA,10010325,3894755,Mixers,Schweppes,Soda Water,Schweppes Soda Water 200ml PET Bottle,200ml,200,PET,EA,1,24,8,5,0.23,0.2,2.64,4.17,EAN-13,6001000001039,1,0
SKU000238,CS,10010333,0000000,Mixers,Schweppes,Soda Water,Schweppes Soda Water 200ml PET Bottle Case 24,24 x 200ml,200,PET,CS,24,24,8,5,5.92,4.8,63.36,100.11,GTIN-14,16001000001036,0,1
SKU000239,EA,10010445,3200486,Mixers,Schweppes,Soda Water,Schweppes Soda Water 1L Can,1L,1000,CAN,EA,1,12,5,4,1.02,1.0,5.71,9.02,EAN-13,6001000001046,1,0
SKU000240,CS,10010486,1421637,Mixers,Schweppes,Soda Water,Schweppes Soda Water 1L Can Case 12,12 x 1L,1000,CAN,CS,12,12,5,4,12.64,12.0,68.52,108.26,GTIN-14,16001000001043,0,1
SKU000241,EA,10010547,1752632,Mixers,Schweppes,Soda Water,Schweppes Soda Water 1L PET Bottle,1L,1000,PET,EA,1,12,5,4,1.03,1.0,4.79,7.57,EAN-13,6001000001053,1,0
SKU000242,CS,10010548,0000000,Mixers,Schweppes,Soda Water,Schweppes Soda Water 1L PET Bottle Case 12,12 x 1L,1000,PET,CS,12,12,5,4,12.76,12.0,57.48,90.82,GTIN-14,16001000001050,0,1
